,embedding1,embedding2
638,26.370361,-9.525088
639,37.733055,8.7346115
640,-48.705845,-44.819466
641,-24.68982,-26.224789
642,-61.19549,-7.7543206
643,-24.731905,51.428318
644,-30.687195,31.217205
645,42.198948,-28.444893
646,64.50615,54.975662
647,46.30008,22.272692
648,-20.537489,44.484406
649,-12.352499,33.01905
650,-20.128649,67.97313
651,-75.48924,-10.237464
652,10.514501,2.768876
653,20.765049,-61.9871
654,-2.2474098,-29.866844
655,-45.306812,-1.9963982
656,11.621836,21.525705
657,54.028946,-31.25991
658,-35.04095,-11.565349
659,-76.56837,22.27108
660,14.412775,-80.39021
661,-79.48616,28.0657
662,82.96087,-25.268194
663,-60.78742,12.912392
664,82.26277,20.079454
665,42.692085,-72.59691
666,64.45836,54.95897
667,0.21210395,24.671791
668,-15.2876425,26.16596
669,19.522028,32.930405
670,-38.506145,26.395922
671,3.4937334,-13.9084
672,25.472715,6.855458
673,52.853508,0.948441
674,-24.623135,14.4021435
675,-52.280434,55.935997
676,-14.627419,62.40504
677,49.722767,4.573275
678,-26.345005,-42.86994
679,-60.272663,-36.409355
680,-46.36183,6.5274777
681,3.8534036,83.38676
682,23.240181,-30.283716
683,-68.36194,39.92055
684,37.80355,-19.233171
685,39.78976,27.7705
686,26.381832,-70.60083
687,59.254646,-14.867274
688,9.14737,20.897566
689,-70.217575,-13.872419
690,-16.699383,-7.4679756
691,-48.669056,-47.01065
692,-37.15019,-34.25151
693,40.390663,25.918804
694,30.351181,57.086277
695,20.5183,-59.3786
696,-54.67915,-27.825201
697,-11.032335,-2.4984672
698,15.765887,6.434322
699,-1.6950232,17.66844
700,19.164104,-8.718662
701,53.822502,12.985818
702,-25.480923,-8.801724
703,83.73756,-2.3271947
704,68.82001,-12.756697
705,57.73711,11.140575
706,-7.4349093,64.23786
707,23.343658,19.380142
708,11.573408,-17.521345
709,-36.675667,62.807205
710,17.522324,-54.27439
711,-34.996494,-20.54029
712,8.348538,36.101254
713,-30.80163,27.292437
714,-34.148273,-48.808357
715,-17.009527,-25.783512
716,-14.009584,-56.614784
717,-36.761463,-15.289239
718,6.3855844,23.081041
719,7.9765053,15.012551
720,-25.314835,-47.512165
